iter	Passed	Remaining
0	5	5256
1	12	6057
2	17	5670
3	20	5222
4	27	5467
5	35	5809
6	38	5470
7	41	5174
8	46	5159
9	52	5216
10	59	5363
11	62	5173
12	65	4975
13	70	4930
14	77	5073
15	83	5116
16	87	5049
17	90	4956
18	94	4894
19	97	4768
20	105	4927
21	109	4856
22	114	4858
23	118	4815
24	119	4672
25	125	4717
26	130	4704
27	134	4665
28	140	4692
29	143	4640
30	150	4698
31	155	4702
32	159	4670
33	163	4649
34	167	4612
35	171	4586
36	175	4568
37	179	4554
38	182	4500
39	186	4480
40	193	4518
41	200	4580
42	207	4607
43	214	4651
44	219	4664
45	225	4676
46	230	4666
47	234	4658
48	238	4623
49	246	4689
50	253	4723
51	261	4765
52	266	4755
53	272	4765
54	277	4765
55	280	4730
56	284	4704
57	289	4699
58	294	4691
59	298	4669
60	302	4655
61	306	4641
62	311	4626
63	316	4622
64	319	4598
65	322	4568
66	324	4517
67	326	4481
68	329	4448
69	335	4460
70	338	4423
71	344	4439
72	347	4418
73	351	4402
74	355	4379
75	357	4340
76	361	4329
77	364	4312
78	370	4318
79	374	4307
80	378	4294
81	384	4303
82	389	4304
83	394	4301
84	402	4329
85	408	4338
86	413	4335
87	418	4340
88	422	4320
89	426	4310
90	427	4274
91	432	4267
92	435	4249
93	439	4232
94	446	4250
95	450	4243
96	457	4259
97	462	4253
98	468	4263
99	476	4284
100	481	4287
101	488	4303
102	494	4309
103	499	4300
104	503	4291
105	508	4289
106	512	4273
107	517	4271
108	521	4264
109	528	4272
110	532	4266
111	537	4262
112	542	4260
113	548	4262
114	555	4271
115	556	4241
116	558	4218
117	563	4210
118	568	4206
119	573	4205
120	577	4194
121	580	4180
122	587	4189
123	591	4178
124	597	4179
125	603	4183
126	608	4184
127	613	4180
128	619	4181
129	621	4161
130	626	4158
131	633	4162
132	635	4143
133	639	4131
134	644	4129
135	649	4124
136	656	4137
137	661	4131
138	664	4118
139	668	4106
140	671	4092
141	677	4091
142	683	4094
143	690	4105
144	695	4101
145	701	4105
146	706	4096
147	708	4076
148	711	4064
149	715	4056
150	723	4065
151	727	4061
152	731	4048
153	738	4057
154	743	4052
155	746	4037
156	752	4040
157	759	4046
158	765	4051
159	773	4059
160	779	4061
161	785	4060
162	788	4051
163	793	4045
164	799	4045
165	804	4043
166	810	4041
167	816	4041
168	819	4028
169	823	4020
170	827	4011
171	833	4011
172	840	4016
173	843	4003
174	845	3985
175	848	3973
176	855	3976
177	859	3968
178	865	3968
179	869	3958
180	871	3944
181	874	3929
182	879	3925
183	885	3925
184	890	3920
185	895	3917
186	899	3908
187	902	3898
188	905	3885
189	909	3875
190	914	3874
191	918	3864
192	920	3848
193	925	3846
194	930	3842
195	934	3835
196	938	3826
197	944	3826
198	951	3828
199	958	3832
200	963	3829
201	966	3817
202	969	3805
203	976	3809
204	982	3809
205	989	3813
206	996	3818
207	1003	3821
208	1010	3822
209	1014	3816
210	1021	3821
211	1029	3827
212	1037	3833
213	1042	3827
214	1046	3820
215	1054	3826
216	1063	3838
217	1071	3844
218	1077	3843
219	1085	3846
220	1092	3850
221	1099	3853
222	1106	3854
223	1110	3848
224	1114	3837
225	1118	3832
226	1124	3830
227	1132	3833
228	1138	3833
229	1145	3833
230	1148	3822
231	1154	3822
232	1160	3819
233	1165	3816
234	1170	3811
235	1174	3803
236	1179	3797
237	1183	3787
238	1189	3787
239	1195	3786
240	1201	3783
241	1207	3782
242	1213	3780
243	1220	3781
244	1226	3780
245	1233	3780
246	1238	3776
247	1243	3771
248	1248	3765
249	1254	3762
250	1259	3759
251	1266	3758
252	1274	3761
253	1281	3764
254	1289	3767
255	1296	3767
256	1303	3768
257	1308	3761
258	1313	3756
259	1318	3752
260	1324	3751
261	1331	3749
262	1336	3745
263	1341	3739
264	1349	3742
265	1357	3744
266	1363	3743
267	1368	3737
268	1374	3734
269	1378	3727
270	1385	3728
271	1392	3725
272	1396	3718
273	1400	3710
274	1406	3706
275	1408	3694
276	1413	3689
277	1419	3685
278	1426	3685
279	1432	3684
280	1438	3681
281	1444	3678
282	1448	3670
283	1454	3667
284	1460	3663
285	1463	3654
286	1468	3647
287	1476	3650
288	1481	3645
289	1488	3643
290	1492	3636
291	1496	3628
292	1504	3631
293	1509	3625
294	1513	3617
295	1517	3608
296	1524	3608
297	1529	3602
298	1534	3596
299	1538	3589
300	1542	3581
301	1544	3570
302	1547	3560
303	1554	3558
304	1557	3547
305	1559	3536
306	1564	3530
307	1566	3520
308	1570	3512
309	1575	3506
310	1581	3502
311	1587	3501
312	1590	3491
313	1593	3480
314	1598	3475
315	1601	3467
316	1604	3456
317	1605	3443
318	1610	3438
319	1614	3430
320	1619	3425
321	1622	3415
322	1625	3406
323	1628	3398
324	1635	3397
325	1639	3388
326	1643	3383
327	1647	3375
328	1651	3368
329	1657	3364
330	1661	3358
331	1663	3347
332	1668	3341
333	1670	3331
334	1674	3324
335	1679	3318
336	1681	3307
337	1685	3300
338	1687	3289
339	1691	3282
340	1696	3277
341	1701	3272
342	1706	3268
343	1710	3261
344	1714	3254
345	1719	3249
346	1725	3246
347	1730	3241
348	1735	3237
349	1742	3236
350	1746	3229
351	1751	3225
352	1755	3217
353	1759	3209
354	1762	3202
355	1770	3202
356	1777	3201
357	1785	3201
358	1792	3199
359	1797	3196
360	1801	3187
361	1805	3181
362	1808	3173
363	1813	3169
364	1817	3161
365	1821	3155
366	1825	3149
367	1833	3148
368	1836	3140
369	1839	3132
370	1846	3130
371	1852	3126
372	1854	3116
373	1856	3107
374	1861	3102
375	1864	3095
376	1867	3086
377	1873	3083
378	1880	3080
379	1886	3077
380	1891	3073
381	1897	3069
382	1904	3067
383	1907	3060
384	1914	3057
385	1919	3053
386	1925	3050
387	1932	3048
388	1937	3043
389	1943	3039
390	1948	3035
391	1954	3031
392	1958	3024
393	1963	3019
394	1967	3013
395	1975	3012
396	1982	3011
397	1987	3006
398	1993	3003
399	2000	3001
400	2009	3001
401	2015	2998
402	2019	2992
403	2023	2984
404	2028	2980
405	2031	2972
406	2037	2968
407	2041	2961
408	2045	2956
409	2050	2950
410	2053	2943
411	2056	2935
412	2059	2927
413	2064	2921
414	2068	2915
415	2072	2909
416	2077	2905
417	2080	2896
418	2085	2892
419	2088	2883
420	2089	2873
421	2094	2869
422	2100	2864
423	2106	2862
424	2112	2858
425	2119	2856
426	2123	2849
427	2127	2842
428	2132	2838
429	2136	2832
430	2141	2827
431	2145	2820
432	2150	2815
433	2155	2810
434	2161	2806
435	2167	2804
436	2173	2800
437	2177	2793
438	2180	2786
439	2185	2781
440	2189	2775
441	2192	2768
442	2197	2763
443	2205	2762
444	2210	2756
445	2213	2749
446	2219	2746
447	2227	2744
448	2232	2739
449	2236	2733
450	2243	2730
451	2248	2726
452	2255	2723
453	2260	2718
454	2262	2710
455	2269	2707
456	2274	2702
457	2278	2696
458	2282	2690
459	2289	2688
460	2299	2688
461	2305	2684
462	2311	2680
463	2320	2680
464	2325	2676
465	2331	2671
466	2337	2667
467	2344	2665
468	2350	2661
469	2356	2656
470	2361	2652
471	2367	2648
472	2373	2643
473	2377	2637
474	2381	2632
475	2386	2627
476	2392	2623
477	2398	2619
478	2402	2612
479	2407	2607
480	2413	2604
481	2419	2599
482	2424	2595
483	2429	2589
484	2433	2584
485	2439	2579
486	2444	2574
487	2449	2569
488	2455	2566
489	2462	2563
490	2467	2558
491	2470	2550
492	2474	2545
493	2479	2539
494	2483	2533
495	2489	2529
496	2493	2523
497	2499	2519
498	2504	2514
499	2509	2509
500	2513	2503
501	2516	2496
502	2520	2490
503	2522	2482
504	2529	2479
505	2535	2475
506	2542	2472
507	2545	2465
508	2549	2459
509	2553	2453
510	2557	2446
511	2563	2443
512	2567	2437
513	2571	2430
514	2575	2425
515	2580	2420
516	2583	2413
517	2587	2407
518	2590	2400
519	2595	2396
520	2600	2390
521	2604	2384
522	2606	2377
523	2610	2371
524	2615	2366
525	2617	2358
526	2619	2350
527	2626	2348
528	2634	2345
529	2638	2339
530	2645	2336
531	2650	2332
532	2655	2326
533	2660	2321
534	2665	2316
535	2671	2312
536	2676	2307
537	2685	2306
538	2688	2299
539	2691	2293
540	2696	2287
541	2699	2281
542	2703	2275
543	2709	2271
544	2715	2267
545	2718	2260
546	2722	2254
547	2728	2250
548	2731	2244
549	2734	2237
550	2739	2232
551	2744	2227
552	2750	2223
553	2754	2217
554	2757	2210
555	2765	2208
556	2770	2203
557	2775	2198
558	2779	2192
559	2783	2186
560	2787	2181
561	2791	2175
562	2795	2169
563	2800	2164
564	2805	2159
565	2811	2156
566	2816	2150
567	2820	2144
568	2825	2139
569	2830	2134
570	2835	2130
571	2838	2124
572	2844	2119
573	2847	2113
574	2854	2109
575	2857	2103
576	2864	2100
577	2868	2094
578	2873	2089
579	2879	2085
580	2885	2081
581	2889	2075
582	2893	2069
583	2901	2067
584	2908	2063
585	2912	2057
586	2915	2051
587	2919	2045
588	2924	2040
589	2930	2036
590	2935	2031
591	2940	2026
592	2943	2020
593	2948	2015
594	2955	2011
595	2958	2005
596	2962	1999
597	2964	1993
598	2968	1987
599	2974	1983
600	2980	1978
601	2984	1972
602	2991	1969
603	2997	1965
604	3001	1959
605	3005	1953
606	3011	1949
607	3016	1944
608	3021	1939
609	3025	1934
610	3029	1928
611	3033	1922
612	3036	1917
613	3040	1911
614	3046	1907
615	3055	1904
616	3063	1901
617	3067	1895
618	3069	1889
619	3072	1882
620	3078	1878
621	3084	1874
622	3088	1868
623	3093	1864
624	3098	1859
625	3101	1853
626	3107	1848
627	3113	1844
628	3120	1840
629	3126	1835
630	3130	1830
631	3135	1825
632	3141	1821
633	3147	1816
634	3150	1811
635	3154	1805
636	3157	1799
637	3165	1796
638	3169	1790
639	3173	1785
640	3178	1779
641	3182	1774
642	3188	1770
643	3196	1767
644	3199	1761
645	3202	1754
646	3207	1750
647	3211	1744
648	3216	1739
649	3223	1735
650	3226	1729
651	3230	1724
652	3235	1719
653	3239	1713
654	3245	1709
655	3254	1706
656	3257	1700
657	3261	1695
