iter	Logloss
0	0.6924614943
1	0.6917906049
2	0.6911728388
3	0.6905315888
4	0.6899589134
5	0.6894748298
6	0.688940126
7	0.6884585107
8	0.6878707715
9	0.6873583807
10	0.6869185073
11	0.6865239179
12	0.6860553541
13	0.6856875169
14	0.6852127118
15	0.6848907203
16	0.6845065607
17	0.6841368267
18	0.6837342187
19	0.6833998046
20	0.6830022864
21	0.6825969903
22	0.6822723876
23	0.6820638897
24	0.6817429918
25	0.6814254173
26	0.6810603607
27	0.6807683479
28	0.6804333538
29	0.680215384
30	0.6799332173
31	0.6796686476
32	0.6793899726
33	0.6791863836
34	0.6789169659
35	0.6786913986
36	0.678482617
37	0.6782490157
38	0.6780599029
39	0.6778749764
40	0.6776946147
41	0.6775227419
42	0.6773297873
43	0.6771674859
44	0.6769857828
45	0.6768421463
46	0.6766657499
47	0.676513454
48	0.6763411508
49	0.6761714662
50	0.6759890591
51	0.6758287809
52	0.6756530338
53	0.6754664636
54	0.6753249868
55	0.6751848588
56	0.6750711015
57	0.6749161042
58	0.6747910773
59	0.6746760394
60	0.6745442969
61	0.6744251914
62	0.6743076442
63	0.674201364
64	0.674083406
65	0.6739424016
66	0.6738609467
67	0.6737503321
68	0.6736266604
69	0.673513733
70	0.6733751867
71	0.6733491514
72	0.6732631163
73	0.6731458593
74	0.6730736519
75	0.6729788562
76	0.6728839754
77	0.6728088864
78	0.6727235831
79	0.6726418318
80	0.6725497314
81	0.6724798636
82	0.6724574648
83	0.6723616344
84	0.6722615914
85	0.6722060817
86	0.6721201627
87	0.6720840725
88	0.6719586359
89	0.6719290471
90	0.6718533581
91	0.6717647425
92	0.6716837418
93	0.6715707432
94	0.6714987089
95	0.6714140038
96	0.6713173841
97	0.6712457221
98	0.671168143
99	0.6711148934
100	0.6710661036
101	0.6709899698
102	0.6709577532
103	0.670895898
104	0.6708776023
105	0.6707959102
106	0.6707036564
107	0.6706616163
108	0.6705957016
109	0.6705254518
110	0.6704782653
111	0.6704446702
112	0.6703918876
113	0.6703453799
114	0.6703176257
115	0.6702554878
116	0.6702005086
117	0.6701608518
118	0.6700992606
119	0.6700612512
120	0.6699973382
121	0.6699335259
122	0.6698572148
123	0.6697847561
124	0.6697433625
125	0.6696681189
126	0.6696164733
127	0.6695536073
128	0.6695096485
129	0.6694403296
130	0.6693846849
131	0.6693447488
132	0.6693122613
133	0.6692562696
134	0.6691912068
135	0.6691402672
136	0.669088574
137	0.6690365243
138	0.6689804823
139	0.6689381689
140	0.6688804975
141	0.6688258528
142	0.6688017245
143	0.6687450282
144	0.6686803288
145	0.6686420987
146	0.668598004
147	0.668586328
148	0.6685550502
149	0.6685292584
150	0.6684887914
151	0.6684410193
152	0.6684080763
153	0.6683581768
154	0.6683171982
155	0.6682900361
156	0.6682384489
157	0.6682149552
158	0.6681786934
159	0.6681386117
160	0.6681334015
161	0.6681109486
162	0.6680848584
163	0.6680573553
164	0.6680058534
165	0.6679573934
166	0.667912864
167	0.6679036773
168	0.6678797973
169	0.6678520989
170	0.6678163851
171	0.6677804604
172	0.6677368908
173	0.6676870666
174	0.6676464383
175	0.6676338089
176	0.6676013974
177	0.6675783384
178	0.6675236094
179	0.667488255
180	0.6674816256
181	0.6674378257
182	0.6674088911
183	0.6673672819
184	0.6673510231
185	0.6673235097
186	0.6673097288
187	0.6672945482
188	0.6672911328
189	0.6672684997
190	0.6672606306
191	0.667218769
192	0.667179554
193	0.6671455982
194	0.6671174385
195	0.6670817477
196	0.6670617985
197	0.6670341613
198	0.6669975506
199	0.6669547013
200	0.6669352275
201	0.666924666
202	0.6669062059
203	0.6668768433
204	0.6668605163
205	0.6668253841
206	0.6667911073
207	0.6667884798
208	0.6667554173
209	0.6667229842
210	0.6666989906
211	0.6666859801
212	0.6666380021
213	0.6666087898
214	0.6665836349
215	0.6665506987
216	0.6665205349
217	0.6664869053
218	0.6664694327
219	0.6664199357
220	0.6664101431
221	0.6663672171
222	0.6663179231
223	0.6662858835
224	0.6662602
225	0.6662249344
226	0.6662149509
227	0.6662090456
228	0.666175146
229	0.6661472127
230	0.6661328241
231	0.6661173692
232	0.6660924543
233	0.6660565473
234	0.6660297084
235	0.66599393
236	0.6659803118
237	0.665946255
238	0.6659018901
239	0.6658796972
240	0.6658554314
241	0.6658533749
242	0.6658269035
243	0.6657924856
244	0.6657641079
245	0.6657499303
246	0.6657317703
247	0.6657030885
248	0.6656856028
249	0.6656530921
250	0.6656162806
251	0.6655783505
252	0.6655384465
253	0.6655256411
254	0.665491112
255	0.6654622776
256	0.665436807
257	0.6654343157
258	0.6653862929
259	0.665384743
260	0.66536723
261	0.6653332136
262	0.6653302402
263	0.6653220826
264	0.6652943318
265	0.6652724891
266	0.6652487797
267	0.6652374548
268	0.6652163857
269	0.6651954855
270	0.6651780716
271	0.665145672
272	0.6651251393
273	0.6650998325
274	0.6650858506
275	0.6650255821
276	0.6649994881
277	0.6649795646
278	0.6649719712
279	0.6649392597
280	0.6649205869
281	0.6649064437
282	0.6648912547
283	0.6648617764
284	0.6648232341
285	0.6648043167
286	0.6647835487
287	0.6647507682
288	0.6647261335
289	0.6646933096
290	0.6646582575
291	0.6646319387
292	0.6646016231
293	0.6645494858
294	0.6645470666
295	0.6645238924
296	0.6645057573
297	0.6644893223
298	0.6644510943
299	0.6644020984
300	0.6643823873
301	0.6643682841
302	0.6643465026
303	0.6643337181
304	0.6643242161
305	0.6643120599
306	0.6642812469
307	0.6642620807
308	0.6642533869
309	0.6642308854
310	0.6642109559
311	0.6641942972
312	0.6641529771
313	0.6641251447
314	0.6641047475
315	0.6640860203
316	0.6640591641
317	0.6640347795
318	0.664021883
319	0.6639944443
320	0.6639861631
321	0.6639470201
322	0.6639290117
323	0.6639123835
324	0.6639049203
325	0.6638828296
326	0.6638762542
327	0.6638687153
328	0.6638315677
329	0.6638120211
330	0.6637758892
331	0.6637386042
332	0.663702891
333	0.6636916184
334	0.6636846827
335	0.6636675953
336	0.6636479791
337	0.6636426825
338	0.6636411371
339	0.6636021485
340	0.6635746119
341	0.6635716246
342	0.6635505119
343	0.6635127666
344	0.6634885933
345	0.663471371
346	0.6634420627
347	0.6634086715
348	0.6633628824
349	0.6633448409
350	0.6633244758
351	0.6633128529
352	0.6632920785
353	0.6632707602
354	0.6632598824
355	0.6632501043
356	0.6632446779
357	0.6632142425
358	0.6632121617
359	0.663208998
360	0.6631952518
361	0.6631842741
362	0.6631707015
363	0.6631642398
364	0.6631452754
365	0.6631320507
366	0.6631077031
367	0.66308818
368	0.6630852227
369	0.6630520092
370	0.6630236787
371	0.6629990542
372	0.6629574063
373	0.6629433357
374	0.6629210757
375	0.6629160683
376	0.6628773126
377	0.6628693313
378	0.6628557912
379	0.662812412
380	0.6627982407
381	0.6627948832
382	0.6627821111
383	0.6627621687
384	0.6627193615
385	0.6626997004
386	0.6626706207
387	0.6626399706
388	0.6626201224
389	0.6626076122
390	0.6625911899
391	0.6625678202
392	0.6625451417
393	0.6625310167
394	0.6625065128
395	0.6624671948
396	0.6624501658
397	0.6624042354
398	0.662380368
399	0.6623583219
400	0.6623337493
401	0.6623215593
402	0.6623111995
403	0.6622944202
404	0.6622747373
405	0.6622573815
406	0.6622500942
407	0.6622387606
408	0.6622293928
409	0.6622265062
410	0.6622032675
411	0.6621837253
412	0.6621658241
413	0.6621320635
414	0.6621282064
415	0.6620978283
416	0.6620676998
417	0.6620567088
418	0.6620379033
419	0.6620182652
420	0.6620012996
421	0.6619979488
422	0.6619582509
423	0.6619445611
424	0.6619266106
425	0.6619112381
426	0.6618965131
427	0.6618803837
428	0.6618655826
429	0.6618377733
430	0.6618311818
431	0.6618054312
432	0.6617993481
433	0.6617812567
434	0.6617578255
435	0.6617504441
436	0.6617283077
437	0.6617142012
438	0.6616868377
439	0.6616568036
440	0.6616427887
441	0.6616289823
442	0.6616289905
443	0.6616037223
444	0.6615868507
445	0.6615603789
446	0.6615516235
447	0.6615308283
448	0.6615177533
449	0.661499537
450	0.6614917563
451	0.6614647458
452	0.6614549258
453	0.6614304802
454	0.6614122892
455	0.6613978822
456	0.6613831058
457	0.661370989
458	0.6613330587
459	0.6613315133
460	0.661321375
461	0.6612977681
462	0.6612972108
463	0.6612746401
464	0.6612588799
465	0.661216222
466	0.661191794
467	0.6611917922
468	0.6611800566
469	0.661154143
470	0.6611339381
471	0.6611260302
472	0.6611009235
473	0.661089904
474	0.6610673893
475	0.6610381355
476	0.6610178789
477	0.6610034974
478	0.6609994315
479	0.6609938908
480	0.6609815383
481	0.6609557516
482	0.6609373067
483	0.6609201087
484	0.6609163594
485	0.6609045166
486	0.6609025828
487	0.6608847335
488	0.6608787696
489	0.6608672225
490	0.6608480905
491	0.6608235466
492	0.6608059381
493	0.6607882444
494	0.6607735948
495	0.660759929
496	0.660718565
497	0.6607138783
498	0.6606962339
499	0.6606740269
500	0.6606530136
501	0.660612581
502	0.660593721
503	0.6605611183
504	0.6605392594
505	0.6605369005
506	0.6605029494
507	0.6605008093
508	0.6604768533
509	0.6604768461
510	0.6604630147
511	0.6604329442
512	0.6604125024
513	0.6603978596
514	0.660393681
515	0.66037368
516	0.660364757
517	0.6603639439
518	0.660362897
519	0.6603479814
520	0.6603268747
521	0.6603033914
522	0.6602568775
523	0.6602517187
524	0.6602353304
525	0.6602092617
526	0.6601944069
527	0.6601601512
528	0.6601403239
529	0.6601320456
530	0.6601154611
531	0.6601021753
532	0.6600889867
533	0.660055054
534	0.6600463976
535	0.6600228078
536	0.6600037645
537	0.6599580191
538	0.6599527789
539	0.6599295572
540	0.6599024451
541	0.6598709745
542	0.6598282753
543	0.6598190592
544	0.6598048225
545	0.6597775219
546	0.6597613788
547	0.6597575887
548	0.6597376856
549	0.6597188293
550	0.6597026236
551	0.6596950994
552	0.6596661064
553	0.6596415584
554	0.6596254124
555	0.6596131985
556	0.659587441
557	0.6595633167
558	0.6595624183
559	0.659527139
560	0.6594921994
561	0.6594921796
562	0.6594673856
563	0.659454831
564	0.6594476377
565	0.6594154771
566	0.6593899797
567	0.6593527414
568	0.6593289292
569	0.6593073886
570	0.6592944763
571	0.6592814906
572	0.6592631057
573	0.6592282534
574	0.6591980852
575	0.6591694177
576	0.6591523979
577	0.6591450631
578	0.6591065663
579	0.6590733848
580	0.6590480661
581	0.659028268
582	0.6590075481
583	0.6589991076
584	0.6589802357
585	0.6589764229
586	0.6589451259
587	0.6589333519
588	0.658907229
589	0.6588853797
590	0.6588622024
591	0.6588439354
592	0.6588139092
593	0.6587822818
594	0.6587559925
595	0.6587325669
596	0.6586986364
597	0.6586580528
598	0.658623111
599	0.6585916692
600	0.6585479854
601	0.6585190089
602	0.6584643213
603	0.6584369663
604	0.6583976317
605	0.6583571242
606	0.6583371469
607	0.658335619
608	0.6583023488
609	0.6582535704
610	0.6582248906
611	0.6582061099
612	0.6581746623
613	0.6581348286
614	0.6580896489
615	0.6580617876
616	0.6580258015
617	0.6580009269
618	0.6579645701
619	0.6579265245
620	0.6578869521
621	0.6578294341
622	0.6577961563
623	0.6577534201
624	0.6577154968
625	0.6576914646
626	0.6576607073
627	0.6576316401
628	0.6575936531
629	0.6575445075
630	0.6575186652
631	0.6574785375
632	0.6574499003
633	0.6574315767
634	0.6574034583
635	0.6573769277
636	0.6573300056
637	0.6573045803
638	0.6572468368
639	0.6572218098
640	0.6571756092
641	0.6571430703
642	0.6571171821
643	0.6570677853
644	0.6570310231
645	0.6570070053
646	0.6569727534
647	0.6569333659
648	0.6568970484
649	0.6568667481
650	0.6568291518
651	0.6567961993
652	0.6567640584
653	0.6567467128
654	0.6567127584
655	0.6566780379
656	0.6566424484
657	0.6566257845
658	0.6565917319
659	0.6565657387
660	0.6565317685
661	0.6564881812
662	0.6564425111
663	0.6564055023
664	0.6563691359
665	0.6563238083
666	0.6562775489
667	0.6562371752
668	0.6561958354
669	0.656141248
670	0.656093357
671	0.6560652293
672	0.656025482
673	0.6559963143
674	0.6559649692
675	0.6559250628
676	0.6558856728
677	0.6558517193
678	0.6558092945
679	0.6557707435
680	0.6557321063
681	0.6556946812
682	0.655663672
683	0.6556214657
684	0.6555973953
685	0.6555580514
686	0.6555278799
687	0.6555070227
688	0.6554599191
689	0.6554336804
690	0.6553844141
691	0.6553517982
692	0.6553256888
693	0.6552903185
694	0.6552604545
695	0.6552257232
696	0.6551895134
697	0.6551357485
698	0.6551041765
699	0.6550591169
700	0.655016207
701	0.6549622406
702	0.6549238811
703	0.654885933
704	0.6548536988
705	0.6548133205
706	0.6547858323
707	0.6547452631
708	0.654728629
709	0.6547012524
710	0.6546725641
711	0.6546402853
712	0.6546015792
713	0.6545538058
714	0.6545270442
715	0.6545028314
716	0.6544682953
717	0.6544353335
718	0.6543931034
719	0.6543490212
720	0.6543047373
721	0.654262226
722	0.6542145033
723	0.6541768014
724	0.6541302455
725	0.6541066278
726	0.6540682082
727	0.6540310006
728	0.6540075937
729	0.6539623947
730	0.6539312325
731	0.6538980745
732	0.6538493353
733	0.6538295326
734	0.6537840984
735	0.653758207
736	0.6537180187
737	0.6536745225
738	0.6536210927
739	0.653592461
740	0.6535578681
741	0.6535172186
742	0.6534787585
743	0.6534397109
744	0.6534088724
745	0.6533688205
746	0.6533310721
747	0.6532986572
748	0.6532493637
749	0.65321329
750	0.6531716263
751	0.6531446361
752	0.653115399
753	0.6530848653
754	0.6530327366
755	0.6529981682
756	0.6529743303
757	0.6529346569
758	0.6529134069
759	0.6528701192
760	0.6528234676
761	0.6527909265
762	0.6527402958
763	0.6527069578
764	0.6526676032
765	0.6526082946
766	0.6525705291
767	0.6525248477
768	0.6524838178
769	0.6524494397
770	0.6524092183
771	0.6523809393
772	0.6523301055
773	0.6522902167
774	0.6522528384
775	0.6522102734
776	0.6521822293
777	0.652150763
778	0.6521339234
779	0.6520915505
780	0.6520402897
781	0.6520075124
782	0.6519844393
783	0.6519467132
784	0.6519014462
785	0.6518632927
786	0.6518149275
787	0.6517728922
788	0.6517339658
789	0.651695536
790	0.6516576216
791	0.6516284093
792	0.651592934
793	0.6515592358
794	0.6515351499
795	0.6515009201
796	0.6514594086
797	0.6514342961
798	0.6513894328
799	0.6513663364
800	0.6513191892
801	0.6512730002
802	0.6512279821
803	0.6511949148
804	0.6511510929
805	0.651120383
806	0.6510787343
807	0.6510314664
808	0.6509927003
809	0.6509601623
810	0.6509164146
811	0.6508839811
812	0.6508456422
813	0.6508055963
814	0.6507755278
815	0.6507338223
816	0.6507046291
817	0.6506814383
818	0.6506585965
819	0.6506252039
820	0.6505963642
821	0.6505555856
822	0.650527608
823	0.6504955273
824	0.6504668146
825	0.6504335887
826	0.6504108646
827	0.650385502
828	0.6503712611
829	0.650344496
830	0.6503180467
831	0.6502935501
832	0.6502497931
833	0.6502182469
834	0.6501747747
835	0.650123375
836	0.6500789511
837	0.6500452509
838	0.6500237284
839	0.6500004561
840	0.64994718
841	0.6499138441
842	0.6498785837
843	0.6498422853
844	0.6498097716
845	0.6497856677
846	0.6497670776
847	0.6497300685
848	0.6496890885
849	0.6496417338
850	0.6496047333
851	0.6495736512
852	0.6495449796
853	0.6495131193
854	0.6494844334
855	0.6494675756
856	0.6494320213
857	0.6494029828
858	0.6493676607
859	0.6493306459
860	0.6492945293
861	0.6492544279
862	0.6492315918
863	0.6492050999
864	0.6491615324
865	0.6491319967
866	0.6490915413
867	0.6490573941
868	0.6490178484
869	0.6489690734
