iter	Passed	Remaining
0	38	57377
1	75	56231
2	114	57376
3	153	57243
4	209	62786
5	251	62522
6	295	62943
7	338	63209
8	382	63396
9	428	63849
10	483	65402
11	530	65755
12	579	66273
13	616	65477
14	659	65337
15	697	64732
16	736	64280
17	778	64099
18	818	63766
19	854	63217
20	899	63340
21	937	62999
22	974	62548
23	1014	62365
24	1050	61971
25	1090	61816
26	1132	61778
27	1168	61418
28	1202	60970
29	1227	60154
30	1266	60008
31	1302	59760
32	1338	59507
33	1372	59187
34	1409	59000
35	1456	59215
36	1490	58936
37	1560	60052
38	1596	59808
39	1640	59876
40	1684	59930
41	1721	59755
42	1758	59578
43	1800	59593
44	1845	59661
45	1889	59739
46	1932	59744
47	1981	59936
48	2018	59784
49	2058	59707
50	2100	59674
51	2178	60662
52	2231	60926
53	2271	60814
54	2312	60768
55	2353	60688
56	2387	60445
57	2425	60305
58	2464	60196
59	2520	60495
60	2566	60532
61	2612	60599
62	2661	60709
63	2703	60661
64	2743	60568
65	2788	60596
66	2828	60496
67	2863	60304
68	2903	60219
69	2940	60080
70	2975	59883
71	2989	59295
72	3022	59078
73	3057	58921
74	3095	58817
75	3130	58647
76	3163	58457
77	3206	58448
78	3242	58327
79	3277	58179
80	3317	58125
81	3369	58262
82	3384	57774
83	3421	57678
84	3456	57534
85	3481	57237
86	3514	57079
87	3535	56724
88	3564	56506
89	3581	56108
90	3606	55837
91	3641	55725
92	3675	55606
93	3710	55493
94	3751	55477
95	3795	55506
96	3833	55443
97	3862	55253
98	3896	55138
99	3925	54950
100	3957	54821
101	3988	54668
102	4016	54479
103	4050	54364
104	4067	54040
105	4098	53894
106	4134	53821
107	4163	53659
108	4197	53566
109	4232	53477
110	4264	53363
111	4294	53222
112	4328	53126
113	4360	53009
114	4391	52893
115	4427	52827
116	4457	52690
117	4489	52585
118	4518	52438
119	4550	52327
120	4584	52246
121	4616	52145
122	4662	52197
123	4704	52208
124	4742	52170
125	4777	52098
126	4819	52103
127	4858	52073
128	4899	52071
129	4948	52151
130	4988	52131
131	5025	52085
132	5064	52056
133	5099	51987
134	5154	52120
135	5214	52303
136	5276	52496
137	5315	52460
138	5355	52434
139	5394	52400
140	5451	52547
141	5504	52641
142	5530	52480
143	5573	52481
144	5621	52527
145	5664	52536
146	5706	52521
147	5729	52343
148	5770	52317
149	5802	52223
150	5832	52110
151	5869	52054
152	5906	51997
153	5937	51898
154	5972	51823
155	6011	51790
156	6062	51862
157	6105	51859
158	6142	51808
159	6173	51704
160	6188	51472
161	6221	51386
162	6260	51351
163	6303	51352
164	6338	51283
165	6379	51267
166	6420	51249
167	6437	51036
168	6506	51240
169	6548	51232
170	6586	51189
171	6627	51173
172	6671	51173
173	6706	51109
174	6742	51047
175	6761	50861
176	6799	50823
177	6832	50746
178	6868	50691
179	6903	50622
180	6928	50492
181	6961	50416
182	6999	50374
183	7031	50288
184	7054	50142
185	7088	50079
186	7129	50057
187	7166	50012
188	7180	49808
189	7220	49785
190	7246	49664
191	7284	49622
192	7316	49546
193	7359	49542
194	7392	49476
195	7429	49430
196	7459	49336
197	7493	49272
198	7531	49241
199	7575	49237
200	7607	49162
201	7627	49010
202	7661	48951
203	7696	48895
204	7730	48836
205	7768	48797
206	7800	48727
207	7815	48548
208	7844	48458
209	7877	48391
210	7907	48305
211	7942	48253
212	7972	48174
213	8007	48118
214	8038	48042
215	8072	47987
216	8118	48000
217	8178	48096
218	8209	48018
219	8242	47955
220	8264	47829
221	8294	47751
222	8326	47681
223	8360	47622
224	8391	47549
225	8425	47498
226	8444	47354
227	8463	47216
228	8495	47152
229	8527	47086
230	8565	47056
231	8604	47025
232	8633	46945
233	8662	46865
234	8694	46803
235	8728	46746
236	8761	46689
237	8787	46597
238	8824	46558
239	8854	46486
240	8889	46440
241	8914	46340
242	8946	46276
243	8981	46232
244	9014	46176
245	9045	46109
246	9075	46039
247	9112	46002
248	9136	45903
249	9172	45861
250	9204	45801
251	9239	45755
252	9274	45711
253	9308	45662
254	9341	45609
255	9375	45559
256	9415	45540
257	9435	45421
258	9468	45366
259	9482	45226
260	9518	45186
261	9554	45147
262	9570	45015
263	9625	45065
264	9662	45032
265	9696	44984
266	9725	44912
267	9760	44868
268	9786	44783
269	9819	44732
270	9856	44701
271	9892	44663
272	9924	44604
273	9954	44540
274	9988	44493
275	10023	44449
276	10055	44397
277	10088	44346
278	10116	44271
279	10147	44216
280	10176	44147
281	10204	44075
282	10229	43989
283	10265	43951
284	10297	43898
285	10326	43834
286	10356	43770
287	10387	43714
288	10418	43657
289	10453	43617
290	10495	43604
291	10534	43580
292	10565	43522
293	10601	43489
294	10615	43363
295	10651	43325
296	10689	43297
297	10720	43241
298	10753	43193
299	10786	43145
300	10819	43096
301	10852	43049
302	10885	43002
303	10914	42939
304	10937	42854
305	10975	42824
306	11008	42778
307	11044	42743
308	11074	42685
309	11108	42642
310	11139	42588
311	11170	42534
312	11200	42477
313	11232	42425
314	11265	42378
315	11297	42330
316	11327	42273
317	11358	42218
318	11387	42158
319	11419	42108
320	11453	42066
321	11486	42021
322	11517	41969
323	11549	41920
324	11581	41872
325	11610	41813
326	11630	41721
327	11652	41637
328	11689	41604
329	11729	41585
330	11757	41525
331	11789	41476
332	11820	41423
333	11854	41385
334	11878	41309
335	11912	41269
336	11938	41200
337	11963	41128
338	11977	41019
339	12010	40976
340	12044	40936
341	12060	40835
342	12091	40785
343	12127	40752
344	12161	40715
345	12190	40659
346	12221	40609
347	12253	40563
348	12285	40517
349	12318	40475
350	12347	40420
351	12373	40353
352	12406	40310
353	12437	40264
354	12469	40217
355	12502	40176
356	12525	40103
357	12559	40064
358	12573	39961
359	12601	39904
360	12631	39854
361	12664	39811
362	12697	39770
363	12734	39744
364	12773	39721
365	12807	39681
366	12839	39638
367	12869	39586
368	12887	39500
369	12921	39463
370	12954	39423
371	12987	39380
372	13020	39339
373	13052	39298
374	13095	39285
375	13123	39231
376	13168	39227
377	13203	39192
378	13238	39155
379	13274	39125
380	13310	39092
381	13336	39031
382	13370	38993
383	13403	38953
384	13442	38930
385	13476	38894
386	13509	38852
387	13542	38812
388	13585	38800
389	13618	38760
390	13653	38724
391	13686	38686
392	13725	38662
393	13760	38627
394	13812	38639
395	13846	38603
396	13878	38560
397	13905	38501
398	13936	38455
399	13964	38403
400	13996	38358
401	14024	38306
402	14059	38269
403	14091	38229
404	14123	38186
405	14150	38129
406	14174	38066
407	14202	38012
408	14232	37966
409	14245	37872
410	14279	37834
411	14312	37795
412	14354	37779
413	14397	37766
414	14434	37739
415	14474	37716
416	14504	37669
417	14538	37632
418	14571	37593
419	14603	37552
420	14636	37512
421	14661	37452
422	14691	37404
423	14724	37367
424	14757	37328
425	14783	37271
426	14823	37248
427	14857	37213
428	14887	37167
429	14915	37115
430	14933	37038
431	14965	36997
432	14994	36950
433	15026	36907
434	15058	36866
435	15080	36802
436	15121	36783
437	15161	36760
438	15197	36730
439	15235	36703
440	15271	36672
441	15309	36646
442	15320	36554
443	15357	36525
444	15394	36496
445	15430	36466
446	15472	36448
447	15513	36427
448	15553	36408
449	15608	36419
450	15644	36388
451	15682	36361
452	15734	36367
453	15795	36392
454	15829	36355
455	15867	36328
456	15924	36343
457	15954	36298
458	15999	36285
459	16028	36238
460	16060	36196
461	16106	36188
462	16121	36107
463	16162	36086
464	16219	36102
465	16268	36098
466	16307	36071
467	16316	35980
468	16354	35951
469	16391	35921
470	16431	35898
471	16464	35859
472	16501	35829
473	16533	35787
474	16566	35747
475	16633	35782
476	16679	35772
477	16725	35759
478	16754	35712
479	16789	35676
480	16823	35640
481	16853	35595
482	16885	35553
483	16927	35534
484	16949	35472
485	16981	35430
486	17001	35363
487	17034	35325
488	17070	35292
489	17143	35337
490	17239	35426
491	17295	35435
492	17345	35429
493	17386	35405
494	17430	35388
495	17466	35356
496	17510	35338
497	17537	35287
498	17582	35271
499	17625	35251
500	17667	35229
501	17710	35209
502	17754	35191
503	17799	35174
504	17840	35150
505	17863	35091
506	17905	35068
507	17930	35014
508	17965	34978
509	17976	34895
510	18018	34872
511	18058	34846
512	18094	34814
513	18135	34788
514	18182	34775
515	18220	34745
516	18253	34707
517	18280	34655
518	18298	34587
519	18338	34560
520	18387	34551
521	18432	34533
522	18476	34515
523	18510	34476
524	18553	34456
525	18597	34437
526	18638	34412
527	18675	34379
528	18713	34349
529	18755	34325
530	18789	34287
531	18828	34258
532	18860	34217
533	18893	34178
534	18940	34163
535	18990	34154
536	19032	34130
537	19066	34092
538	19100	34055
539	19140	34027
540	19176	33993
541	19221	33975
542	19264	33952
543	19299	33916
544	19337	33885
545	19375	33853
546	19420	33835
547	19466	33817
548	19514	33804
549	19560	33786
550	19598	33755
551	19616	33689
552	19661	33669
553	19702	33644
554	19741	33613
555	19776	33577
556	19814	33546
557	19847	33505
558	19862	33435
559	19905	33412
560	19953	33397
561	19961	33316
562	20000	33286
563	20044	33265
564	20072	33217
565	20131	33221
566	20178	33203
567	20236	33205
568	20275	33174
569	20316	33148
570	20357	33121
571	20400	33096
572	20441	33070
573	20485	33048
574	20528	33024
575	20570	32998
576	20611	32971
577	20652	32943
578	20696	32921
579	20736	32892
580	20774	32860
581	20809	32823
582	20841	32781
583	20872	32738
584	20905	32699
585	20927	32641
586	20974	32623
587	21028	32615
588	21103	32640
589	21146	32615
590	21180	32577
591	21221	32548
592	21255	32510
593	21290	32473
594	21325	32436
595	21361	32400
596	21398	32366
597	21432	32327
598	21469	32293
599	21503	32255
600	21536	32214
601	21569	32175
602	21606	32141
603	21643	32107
604	21681	32073
605	21716	32036
606	21760	32013
607	21774	31945
608	21809	31908
609	21844	31870
610	21881	31837
611	21917	31801
612	21953	31766
613	21986	31726
614	22021	31690
615	22053	31648
616	22095	31621
617	22135	31591
618	22182	31570
619	22219	31537
620	22255	31501
621	22293	31469
622	22327	31430
623	22360	31391
624	22394	31352
625	22436	31324
626	22469	31285
627	22503	31246
628	22539	31210
629	22577	31178
630	22617	31147
631	22653	31113
632	22690	31078
633	22722	31037
634	22759	31003
635	22801	30975
636	22833	30933
637	22874	30905
638	22908	30867
639	22941	30827
640	22972	30785
641	23002	30741
642	23045	30715
643	23086	30685
644	23126	30656
645	23156	30612
646	23197	30583
647	23232	30546
648	23265	30506
649	23302	30472
650	23338	30436
651	23371	30397
652	23405	30359
653	23441	30323
654	23474	30283
655	23508	30245
656	23539	30203
657	23574	30166
658	23608	30128
659	23642	30090
660	23675	30051
661	23709	30013
662	23743	29974
663	23782	29943
664	23815	29903
665	23849	29865
666	23882	29826
667	23916	29788
668	23950	29749
669	23982	29710
670	24014	29668
671	24049	29632
672	24083	29594
673	24115	29554
674	24149	29516
675	24187	29483
676	24221	29445
677	24259	29412
678	24292	29372
679	24324	29332
680	24357	29293
681	24391	29254
682	24425	29217
683	24460	29180
684	24498	29147
685	24533	29110
686	24569	29075
