iter	Logloss
0	0.6492814477
1	0.6090020538
2	0.5805546003
3	0.5580802387
4	0.542049724
5	0.5277730005
6	0.5176255111
7	0.5101449669
8	0.5026425037
9	0.4972664822
10	0.4921441704
11	0.4887022893
12	0.4849379246
13	0.4824825554
14	0.4797675813
15	0.4769906453
16	0.4749628379
17	0.473107935
18	0.4714132722
19	0.4701312294
20	0.4684015595
21	0.4674139535
22	0.4664261048
23	0.4656967868
24	0.4650166837
25	0.46440008
26	0.4634354606
27	0.4627748444
28	0.462309661
29	0.4616609668
30	0.4608526064
31	0.4603764089
32	0.4595841068
33	0.4591536806
34	0.458791178
35	0.4583806994
36	0.4580971719
37	0.457669288
38	0.4571215688
39	0.4567731219
40	0.4565360022
41	0.4562408524
42	0.455856543
43	0.4555694556
44	0.4553551785
45	0.4551603161
46	0.4547828121
47	0.4542969042
48	0.4540835481
49	0.4538821943
50	0.4535722067
51	0.4529788468
52	0.452788028
53	0.4526444843
54	0.4522649146
55	0.4520769666
56	0.4519084175
57	0.4517732405
58	0.4516056014
59	0.4514947154
60	0.4512181487
61	0.4510727853
62	0.4508618243
63	0.4507578043
64	0.4506555264
65	0.4505281938
66	0.4502525144
67	0.4501157778
68	0.4500328861
69	0.449865734
70	0.4497569141
71	0.449673738
72	0.4495741672
73	0.4495081806
74	0.4493015185
75	0.4492525723
76	0.4491329079
77	0.448907767
78	0.4487719699
79	0.4484807047
80	0.4482275031
81	0.4479711144
82	0.4478292247
83	0.4477136554
84	0.4475565187
85	0.4473770147
86	0.4472684071
87	0.4470292157
88	0.4469246174
89	0.4468653094
90	0.4467508167
91	0.4466326691
92	0.4465513746
93	0.446471751
94	0.4463417193
95	0.4461555183
96	0.4461095784
97	0.446048094
98	0.4459572332
99	0.4458842843
100	0.445722266
101	0.4456761938
102	0.4456069936
103	0.4455501331
104	0.4454319247
105	0.4453197411
106	0.4452004829
107	0.4451392428
108	0.4450740778
109	0.4449626644
110	0.4448608865
111	0.4447873487
112	0.4447272813
113	0.444665555
114	0.4444988239
115	0.44447181
116	0.4444101729
117	0.4442442444
118	0.444204611
119	0.4440925084
