iter	Logloss
0	0.6895644088
1	0.6865690365
2	0.6838172667
3	0.6804248606
4	0.6775888546
5	0.6749822564
6	0.6722958031
7	0.6699285971
8	0.667567005
9	0.6657333958
10	0.6635655636
11	0.6614366169
12	0.6588848261
13	0.6567731735
14	0.6545950239
15	0.652824427
16	0.65053458
17	0.6482708824
18	0.6465860962
19	0.6446031012
20	0.6430317197
21	0.6415734967
22	0.6401582269
23	0.6385971668
24	0.6367486427
25	0.6350393028
26	0.6335909345
27	0.6324784818
28	0.6312101869
29	0.6299371308
30	0.6286245829
31	0.6275774607
32	0.6266111645
33	0.6256387966
34	0.6241897301
35	0.62313
36	0.6219261244
37	0.6207193311
38	0.6195309207
39	0.6188660133
40	0.6180291358
41	0.6174369153
42	0.6163576722
43	0.6155221191
44	0.6142836678
45	0.6131934301
46	0.6119960867
47	0.6107829021
48	0.6096769143
49	0.6087903173
50	0.6078402234
51	0.606819476
52	0.6061812876
53	0.6054246712
54	0.6046949832
55	0.6039045026
56	0.6029859734
57	0.6022503314
58	0.6013243067
59	0.6003814542
60	0.5995565349
61	0.5992297533
62	0.5987700653
63	0.598355989
64	0.5978407899
65	0.5970020772
66	0.5964742398
67	0.5957635835
68	0.5953256859
69	0.5946489377
70	0.5943432525
71	0.5938623186
72	0.593460823
73	0.5932814098
74	0.592966084
75	0.5925085482
76	0.5920178358
77	0.5916462978
78	0.5911508893
79	0.5908067543
80	0.5903749713
81	0.5901241987
82	0.5897702635
83	0.589233604
84	0.5889605484
85	0.5886404685
86	0.5880490316
87	0.5877750731
88	0.5872743972
89	0.586872604
90	0.5865365632
91	0.5860185787
92	0.5858059045
93	0.5855152473
94	0.5853488081
95	0.5848538667
96	0.5845848277
97	0.5843813159
98	0.5840338491
99	0.5838595485
100	0.5837134712
101	0.5834177454
102	0.5833095043
103	0.5830462424
104	0.582572355
105	0.5822183097
106	0.5820320476
107	0.58189263
108	0.5816976072
109	0.581329206
110	0.5809422929
111	0.5807894713
112	0.5806471437
113	0.5804080634
114	0.5802266441
115	0.5800182009
116	0.5797890446
117	0.5796103708
118	0.5792467313
119	0.5790763406
120	0.5788394575
121	0.5786545584
122	0.578490466
123	0.5783580616
124	0.5781734943
125	0.5778286901
