iter	Logloss
0	0.6914120228
1	0.6900093825
2	0.6888212738
3	0.6875242172
4	0.6862343849
5	0.6850244002
6	0.6839890077
7	0.6825172492
8	0.681487664
9	0.6801469815
10	0.6792896572
11	0.6785887015
12	0.6774198008
13	0.6763570461
14	0.6750642718
15	0.6740427082
16	0.6730271825
17	0.6719959037
18	0.6710324962
19	0.6702464294
20	0.6695616388
21	0.668562181
22	0.6675158793
23	0.6668563129
24	0.6660620945
25	0.6654809254
26	0.6647460524
27	0.6639711502
28	0.6630087906
29	0.6623314544
30	0.6614627967
31	0.6607517303
32	0.6598492518
33	0.6590354644
34	0.6584381042
35	0.6575602212
36	0.6569934204
37	0.6564072186
38	0.6557105622
39	0.6551502623
40	0.654479357
41	0.6542273062
42	0.6535392253
43	0.6532990877
44	0.6526609662
45	0.6522087673
46	0.6518324503
47	0.6513781881
48	0.6507720839
49	0.6504240576
50	0.6502935717
51	0.6498280555
52	0.6492697907
53	0.6491541362
54	0.64856202
55	0.6481366758
56	0.6477191735
57	0.6472324594
58	0.646879764
59	0.6466398986
60	0.646482904
61	0.6461778827
62	0.6458755016
63	0.6454329963
64	0.6449619683
65	0.6446898904
66	0.644449429
67	0.6441169707
68	0.6439215431
69	0.643464921
70	0.6433185136
71	0.6430571431
72	0.6428751627
73	0.6426287969
74	0.6423832093
75	0.641918926
76	0.6414500575
77	0.6410516231
78	0.6409036492
79	0.6407894874
80	0.6405048202
81	0.6403393945
82	0.6399668961
83	0.6396597117
84	0.6393230234
85	0.6389479144
86	0.6387544933
87	0.6386534455
88	0.6383940558
89	0.6381305291
90	0.6378878612
91	0.6377537236
92	0.6376320912
93	0.6373382363
94	0.6369629331
95	0.6366473342
96	0.6364411489
97	0.6361960191
98	0.6359490379
99	0.6358536616
100	0.6357109603
101	0.635595327
102	0.6354550235
103	0.6352936596
104	0.6351532166
105	0.6348090062
106	0.6344556313
107	0.6341386974
108	0.6339431377
109	0.633621279
110	0.633366676
111	0.6330289775
112	0.6328418394
113	0.632573401
114	0.6323025234
115	0.6320704432
116	0.6318699299
117	0.6317232366
118	0.6315461742
119	0.631387191
120	0.6311729768
121	0.6308942539
122	0.6308127745
123	0.6305241321
124	0.6303665721
125	0.6301617407
126	0.630006284
127	0.629800394
128	0.6295602612
129	0.629303733
130	0.6289925933
131	0.6288177841
132	0.6286823297
133	0.628427026
134	0.6282303402
135	0.6279925127
136	0.6278664687
137	0.6277208104
138	0.6275222002
139	0.6273866516
140	0.6272369083
141	0.6270712008
142	0.6268747858
143	0.6265105911
144	0.6264250495
145	0.6261329768
146	0.6259743236
147	0.625743034
148	0.6256337567
149	0.6255641351
150	0.6252359463
151	0.6248691465
152	0.6248109901
153	0.6245427758
154	0.6243709906
155	0.6242034482
156	0.6239060867
157	0.6237671045
158	0.6235368686
159	0.6233450964
160	0.6230664862
161	0.6229126309
162	0.6225208163
163	0.6224167274
164	0.6221568714
165	0.6220011251
166	0.6219380956
167	0.6218329885
168	0.621683726
