iter	MAE	RMSE
161	0.08416931445	0.1171008733
162	0.08392620695	0.1167524421
163	0.08375890113	0.1164931746
164	0.08366822971	0.1163769576
165	0.08355965467	0.1161350357
166	0.08347044075	0.1159445902
167	0.08327988546	0.1155985883
168	0.08314743899	0.115332172
169	0.08305078664	0.1151917342
170	0.0829244476	0.1150086109
171	0.08276101145	0.1147771636
172	0.08271352376	0.1147000399
173	0.0826183916	0.114546584
174	0.08248013908	0.1142996669
175	0.08238899533	0.1141350171
176	0.08228457484	0.1140101781
177	0.08219418273	0.113871818
178	0.0820900797	0.1136550453
179	0.08197992756	0.1135081012
180	0.08193494858	0.1134329057
181	0.08188232521	0.11335283
182	0.081841208	0.1132778189
183	0.08175868943	0.1131495351
184	0.08154308619	0.1129155813
185	0.08142138686	0.1127300543
186	0.08131917609	0.1125508517
187	0.08122771474	0.1123581946
188	0.08102972983	0.1121253436
189	0.08086445351	0.1119048678
190	0.08074575095	0.1117305995
191	0.08061186767	0.111493388
192	0.08050536231	0.1112807351
193	0.08045237994	0.1111510942
194	0.0802068409	0.1107864732
195	0.08007623771	0.110604299
196	0.08000585427	0.1104998514
197	0.07984312113	0.1102066134
198	0.07975857276	0.1100876319
199	0.07961693192	0.1098433323
200	0.07949624204	0.109692827
201	0.07940173109	0.1095621059
202	0.07932399439	0.1093932272
203	0.07927451384	0.1092851247
204	0.07913909832	0.1091151276
205	0.07907454666	0.1090083074
206	0.0790360024	0.1089230799
207	0.07890876169	0.1087122983
208	0.07882670074	0.1085973412
209	0.0786831696	0.1083585355
210	0.07859004528	0.1082042604
211	0.07850723408	0.1080403765
212	0.07838931654	0.1078815411
213	0.0783218188	0.1077767312
214	0.07824422417	0.1076562453
215	0.07808324844	0.1074749465
216	0.07794525625	0.1072950669
217	0.07777098953	0.1070568205
218	0.07770888287	0.1069504717
219	0.0775180312	0.1066009472
220	0.07746137012	0.1064924587
221	0.07734296556	0.1063141595
222	0.07724915179	0.1061822122
223	0.07714442586	0.1060105205
224	0.07704230627	0.1058564626
225	0.07700070275	0.1057685995
226	0.07680564406	0.1054897888
227	0.07674627276	0.1053806755
228	0.07660688736	0.1051529932
229	0.07650320283	0.1049934279
230	0.07644571875	0.1048524741
231	0.07633847416	0.1047020633
232	0.07622224416	0.104557027
233	0.07622040044	0.1045375055
234	0.07613242401	0.1043657669
235	0.07600383035	0.1041964963
236	0.07589628752	0.1040434452
237	0.07573436294	0.1038490722
238	0.07559099459	0.1036874565
239	0.07547619764	0.1035352034
240	0.07533911366	0.1033331154
241	0.07523751514	0.1031704933
242	0.07515681081	0.1030543212
243	0.07507849081	0.1029417873
244	0.07492796942	0.102759413
245	0.07487813835	0.1026553852
246	0.07480201062	0.1025454761
247	0.07465662597	0.1023715924
248	0.07450892118	0.1021022571
249	0.07434326886	0.1018370615
